id,texto_relato,natureza,bairro,turno,dia_semana,houve_violencia,valor_prejuizo_reais,idade_vitima,reincidencia
1,Comunicante relata agressao por parte de companheiro dentro de casa,Violencia Domestica,Samambaia,Noite,Quarta,False,0.0,,False
2,Comunicante relata ter recebido ameacas de morte por aplicativo de mensagens,Ameaca,Taguatinga,Manhã,Sábado,False,0.0,58.0,False
3,Vitima percebeu falta mochila com documentos apos deixar na parada de onibus sem vigilancia,Furto,Ceilândia,Noite,Quarta,False,1376.24,,True
4,Vitima relata ter caido em golpe de venda falsa pela internet e perdido notebook,Estelionato,Planaltina,Noite,Terça,False,3234.82,32.0,False
5,Comunicante relata que teve notebook subtraido sem uso de violencia proximo a residencia,Furto,Sobradinho,Madrugada,Sexta,False,292.48,57.0,False
6,Vitima relata ter caido em golpe de venda falsa pela internet e perdido veiculo,Estelionato,Samambaia,Noite,Terça,False,2196.11,77.0,False
7,Vitima procurou a delegacia apos sofrer agressao fisica de conhecido,Lesao Corporal,Taguatinga,Madrugada,Quarta,True,0.0,51.0,False
8,Denuncia anonima relata comercio de entorpecentes dentro do onibus,Trafico de Drogas,Águas Claras,Madrugada,Quarta,False,0.0,31.0,False
9,Vitima procura delegacia relatando ameacas reiteradas do ex-companheiro,Violencia Domestica,Águas Claras,Manhã,Sábado,False,0.0,26.0,False
10,Comunicante relata agressao por parte de companheiro dentro de casa,Violencia Domestica,Samambaia,Manhã,Quinta,False,0.0,61.0,False
11,Comunicante relata som alto excessivo vindo de imovel vizinho em via publica,Perturbacao do Sossego,Asa Norte,Madrugada,Domingo,False,0.0,,False
12,Vitima solicita providencias contra perturbacao recorrente do sossego,Perturbacao do Sossego,Taguatinga,Tarde,Quinta,False,0.0,57.0,False
13,Vitima percebeu falta mochila com documentos apos deixar na parada de onibus sem vigilancia,Furto,Gama,Madrugada,Quinta,False,480000.0,34.0,False
14,Comunicante relata ter recebido ameacas de morte por aplicativo de mensagens,Ameaca,Gama,Madrugada,Domingo,False,0.0,24.0,False
15,"Vitima nao retornou para casa apos sair para trabalhar, familia registra desaparecimento",Pessoa Desaparecida,Guará,Noite,Quarta,False,0.0,36.0,False
16,Comunicante relata que teve celular subtraido sem uso de violencia dentro do onibus,Furto,Taguatinga,Manhã,Terça,False,749.74,21.0,True
17,Comunicante relata movimentacao suspeita associada a trafico de drogas proximo a residencia,Trafico de Drogas,Ceilândia,Manhã,Quinta,False,0.0,63.0,False
18,Vitima solicita providencias contra perturbacao recorrente do sossego,Perturbacao do Sossego,Guará,Madrugada,Sexta,False,0.0,121.0,False
19,Comunicante relata ter sido agredido fisicamente durante discussao na feira livre,Lesao Corporal,Taguatinga,Noite,Domingo,True,0.0,,False
20,Comunicante relata ter sido rendido e ter bicicleta levado no comercio local,Roubo,Águas Claras,Manhã,Sábado,True,2849.89,75.0,True
21,"Vitima nao retornou para casa apos sair para trabalhar, familia registra desaparecimento",Pessoa Desaparecida,Sobradinho,Tarde,Segunda,False,0.0,78.0,False
22,Comunicante relata agressao por parte de companheiro dentro de casa,Violencia Domestica,Ceilândia,Tarde,Segunda,False,0.0,63.0,False
23,Vitima informa que foi abordada por individuo armado que levou notebook em via publica,Roubo,Gama,Noite,Quarta,False,1686.65,59.0,False
24,"Vitima nao retornou para casa apos sair para trabalhar, familia registra desaparecimento",Pessoa Desaparecida,Taguatinga,Manhã,Segunda,False,0.0,41.0,False
25,Comunicante relata ter sido agredido fisicamente durante discussao proximo a residencia,Lesao Corporal,Asa Sul,Madrugada,Domingo,True,0.0,5.0,False
